Product,Fault_Code,Part_Category,Fault_Type
L10 Windows,Damage-Cracked Touch Panel,Housing,Damage
L10 Windows,Housing-Cosmetic Per Contract,Housing,Damage
L10 Windows,Display-Blank,Housing,Failure
L10 Windows,Housing-Cosmetic Per Contract,Housing,Failure
TC77,Damage-Cracked Touch Panel,Housing,Damage
L10 Windows,Display-Blank,Housing,Failure
TC72,Damage-Display Cracked,Housing,Damage
TC72,Housing-Knobs/Buttons/Switches,Housing,Damage
TC72,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Case/Housing,Housing,Damage
TC77,Damage-Display,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Housing-Cosmetic Per Contract,Housing,Failure
L10 Android,Damage-Missing/Not Original,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC72,Damage-Cracked Touch Panel,Housing,Damage
TC77,Display-Color Distortion,Housing,Failure
L10 Android,Touch Panel-Incorrect Reaction,Housing,Failure
TC72,Software-Does Not Load,Housing,Failure
TC77,Damage-Case/Housing,Housing,Damage
TC72,Damage-Display Cracked,Housing,Damage
TC72,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Display-Backlight,Housing,Failure
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Display-Color Distortion,Housing,Failure
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
L10 Windows,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Power-No Power,Housing,Damage
TC72,Damage-Cracked Touch Panel,Housing,Damage
TC72,Housing-Knobs/Buttons/Switches,Housing,Damage
TC77,Touch Panel-No Reaction,Housing,Failure
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC72,Damage-Cracked Touch Panel,Housing,Damage
TC72,Damage-Cracked Touch Panel,Housing,Damage
TC72,Power-No Power,Housing,Failure
TC72,Damage-Trigger,Housing,Damage
TC72,Damage-Case/Housing,Housing,Damage
TC77,Damage-Case/Housing,Housing,Damage
TC77,Damage-Case/Housing,Housing,Damage
TC72,Housing-Knobs/Buttons/Switches,Housing,Damage
TC72,Housing-Knobs/Buttons/Switches,Housing,Damage
TC72,Damage-Missing/Not Original,Housing,Damage
TC72,Touch Panel-Alignment Issue,Housing,Failure
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Case/Housing,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC72,Damage-Housing-Rubber Bumper,Housing,Damage
TC72,Damage-Display Cracked,Housing,Damage
TC72,Damage-Housing-Rubber Bumper,Housing,Damage
TC72,Touch Panel-Incorrect Reaction,Housing,Failure
TC77,Display-Problem,Housing,Failure
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Display,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Touch Panel-Incorrect Reaction,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC72,Damage-Housing-Rubber Bumper,Housing,Damage
TC72,Damage-Display Cracked,Housing,Damage
TC72,Trigger-Not Work,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Touch Panel-No Reaction,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC72,Damage-Display Cracked,Housing,Damage
TC72,Touch Panel-Incorrect Reaction,Housing,Damage
TC72,Display-Blank,Housing,Failure
TC72,Damage-Display Cracked,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Damage-Housing-Rubber Bumper,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC72,Damage-Cracked Touch Panel,Housing,Damage
TC72,Damage-Display Cracked,Housing,Damage
TC77,Damage-Display,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Display Cracked,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
L10 Windows,Display-Blank,Housing,Damage
L10 Windows,Other-Eco/Ff,Housing,Failure
MC3300AX,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Display-Does Not Display,Housing,Failure
TC77,Damage-Display,Housing,Damage
TC77,Damage-Cracked Touch Panel,Housing,Damage
TC77,Damage-Physical Damage,Housing,Damage
